valuation_date,expiry,maturity,spot,rate,dividend,strike,call_mid
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,352.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,353.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,355.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,360.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,365.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,370.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,375.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,380.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,385.000000,0.0100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,390.000000,0.0100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,220.000000,95.9600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,221.000000,95.0300000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,222.000000,94.1200000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,223.000000,93.2000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,224.000000,92.2900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,225.000000,91.3900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,226.000000,90.4800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,227.000000,89.5700000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,228.000000,88.6800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,229.000000,87.7700000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,230.000000,86.8700000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,231.000000,85.9700000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,232.000000,85.0900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,233.000000,84.2000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,234.000000,83.3000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,235.000000,82.4000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,236.000000,81.5400000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,237.000000,80.6600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,238.000000,79.7600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,239.000000,78.8700000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,240.000000,78.0000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,241.000000,77.1200000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,242.000000,76.2500000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,243.000000,75.3900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,244.000000,74.5100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,245.000000,73.6500000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,246.000000,72.7800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,247.000000,71.9100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,248.000000,71.0800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,249.000000,70.2100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,250.000000,69.3500000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,251.000000,68.5100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,252.000000,67.7000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,253.000000,66.8500000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,254.000000,66.0100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,255.000000,65.1600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,256.000000,64.3300000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,257.000000,63.5000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,258.000000,62.6700000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,259.000000,61.8300000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,260.000000,61.0000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,261.000000,60.1900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,262.000000,59.3600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,263.000000,58.5400000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,264.000000,57.7200000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,265.000000,56.9100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,266.000000,56.1000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,267.000000,55.3000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,268.000000,54.4900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,269.000000,53.6900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,270.000000,52.8900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,271.000000,52.1000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,272.000000,51.3100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,273.000000,50.5200000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,274.000000,49.7300000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,275.000000,48.9500000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,276.000000,48.1600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,277.000000,47.3900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,278.000000,46.6100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,279.000000,45.8400000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,280.000000,45.0800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,281.000000,44.3100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,282.000000,43.5500000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,283.000000,42.8000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,284.000000,42.0400000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,285.000000,41.2900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,286.000000,40.5400000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,287.000000,39.7900000000
